6.267619062564939725e-01,8.642663785468988058e-01,2.369229588876199666e-01,1.000000000000000000e+00,1.555196416252302427e+00,2.938220541280014975e-01,6.978663802146911621e-01,6.267619062564939725e-01,8.642663785468988058e-01,5.000000000000000240e-05
6.648034571271654869e-01,8.976509796370626404e-01,2.786114453174635686e-01,1.000000000000000000e+00,1.793618523273514009e+00,2.021453164910015365e-01,6.833150982856750488e-01,6.869955236515637997e-01,9.067609828352450885e-01,5.000000000000000240e-05
6.992098719272948903e-01,8.991397877878058997e-01,2.527980976539618840e-01,1.000000000000000000e+00,1.805477432774495128e+00,1.772522485457865005e-01,6.795625686645507812e-01,7.148306798699092246e-01,9.218222634509420921e-01,5.000000000000000240e-05
7.091312603650122837e-01,9.102348963669312232e-01,2.727229372614004554e-01,1.000000000000000000e+00,1.898161584719590511e+00,1.494052479309695147e-01,6.792529225349426270e-01,7.305696907284909836e-01,9.257364890834365312e-01,5.000000000000000240e-05
7.305372616257366225e-01,9.216787022593887491e-01,2.837212081416946585e-01,1.000000000000000000e+00,2.003168590974899299e+00,1.363629621166483896e-01,6.753412485122680664e-01,7.370114252920662024e-01,9.296981596167747108e-01,5.000000000000000240e-05
7.124264700215093837e-01,9.190333898341207508e-01,3.020313545734130689e-01,1.000000000000000000e+00,1.977917891245452253e+00,1.170818110773886034e-01,6.737998127937316895e-01,7.400467179735578105e-01,9.314862996241549675e-01,5.000000000000000240e-05
7.085184605407394143e-01,9.092116934623443170e-01,2.777885937355360491e-01,1.000000000000000000e+00,1.889271034028405349e+00,9.622653181615628548e-02,6.713230013847351074e-01,7.422060011623289322e-01,9.320623924198810917e-01,5.000000000000000240e-05
7.209400957259665121e-01,9.048636916254116924e-01,2.642359711359592578e-01,1.000000000000000000e+00,1.852298835888159356e+00,8.430936348561506033e-02,6.699098348617553711e-01,7.475720479857037581e-01,9.317533475708805746e-01,5.000000000000000240e-05
7.322816350080380010e-01,9.006642697865018254e-01,2.683510030714374994e-01,1.000000000000000000e+00,1.817753510209622281e+00,8.271564954989835128e-02,6.701114177703857422e-01,7.569785528392808382e-01,9.302668814783703333e-01,5.000000000000000240e-05
7.124500830427337172e-01,9.190163114440333958e-01,2.674974179637176763e-01,1.000000000000000000e+00,1.977756910261539991e+00,6.797097970668534994e-02,6.651542186737060547e-01,7.571506483083120242e-01,9.301818440924102260e-01,5.000000000000000240e-05
7.529123451888731777e-01,9.190436408441566840e-01,3.058043907115938209e-01,1.000000000000000000e+00,1.978014529623105977e+00,4.928636410154570158e-02,6.646671295166015625e-01,7.600146162182545018e-01,9.309106507403591690e-01,2.500000000000000120e-05
