FileName,Full_Path,Label_0.5,Label_0.8,Speech_prob,Mammal_prob,Silence_prob,Stream_prob,Aircraft_prob,Frog_prob,Cicada_prob,Insect_prob,Rain_prob,Wind_prob,Bird_prob,Owl_prob
GWU02_20250531_054500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-004\GW_CheckAudio\GWU02_20250531_054500.wav,None,None,0.1736,0.0072,0.0624,0.0752,0.0557,0.0567,0.1499,0.332,0.0118,0.1096,0.0842,0.0363
GWU02_20250531_063000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-004\GW_CheckAudio\GWU02_20250531_063000.wav,None,None,0.1045,0.006,0.0374,0.0323,0.086,0.0173,0.3364,0.333,0.0026,0.0559,0.1026,0.0093
GWU02_20250505_123000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-001\GW_CheckAudio\GWU02_20250505_123000.wav,None,None,0.2637,0.0083,0.0371,0.0459,0.0909,0.0195,0.1632,0.1325,0.0066,0.0461,0.0921,0.0089
GWU02_20250501_173000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GWU02_20250501_173000.wav,None,None,0.2806,0.0047,0.0204,0.0369,0.067,0.0079,0.0783,0.1517,0.0027,0.1952,0.1145,0.0047
GWU02_20250727_054500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-001\GW_CheckAudio\GWU02_20250727_054500.wav,None,None,0.0809,0.0056,0.0637,0.0647,0.0585,0.0339,0.1307,0.2375,0.0088,0.1455,0.0818,0.0213
GWU02_20250708_060000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-002\GW_CheckAudio\GWU02_20250708_060000.wav,None,None,0.2655,0.005,0.053,0.0516,0.041,0.0332,0.1954,0.1429,0.0245,0.0511,0.0485,0.0243
GWU02_20250731_150000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-001\GW_CheckAudio\GWU02_20250731_150000.wav,None,None,0.1194,0.0071,0.1331,0.0297,0.0436,0.0235,0.2117,0.0777,0.0323,0.0351,0.0793,0.0132
GW01_20250418_081500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-006\GW_CheckAudio\GW01_20250418_081500.wav,None,None,0.1852,0.0081,0.0522,0.0438,0.0747,0.0334,0.2244,0.4619,0.0027,0.102,0.1001,0.024
GW01_20250407_184500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-006\GW_CheckAudio\GW01_20250407_184500.wav,None,None,0.1689,0.005,0.0416,0.027,0.0266,0.0207,0.2299,0.1194,0.0078,0.0329,0.0303,0.0048
GW01_20250421_200000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GW01_20250421_200000.wav,None,None,0.2122,0.0057,0.0989,0.0281,0.0401,0.0687,0.1859,0.2415,0.0165,0.1226,0.0718,0.0211
GW03_20250412_180000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-006\GW_CheckAudio\GW03_20250412_180000.wav,None,None,0.2838,0.0045,0.0849,0.0493,0.0465,0.0671,0.1923,0.2328,0.0788,0.065,0.0314,0.0129
GW03_20250713_114500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-001\GW_CheckAudio\GW03_20250713_114500.wav,None,None,0.3086,0.0091,0.0865,0.0189,0.033,0.0424,0.19,0.2374,0.0025,0.0192,0.0959,0.0177
GWB01_20250513_074500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-004\GW_CheckAudio\GWB01_20250513_074500.wav,None,None,0.1125,0.008,0.0866,0.0389,0.0237,0.1038,0.3969,0.1684,0.0083,0.014,0.0209,0.0373
GWB01_20250518_093000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-004\GW_CheckAudio\GWB01_20250518_093000.wav,None,None,0.262,0.006,0.0325,0.0761,0.0948,0.0323,0.1332,0.4675,0.0008,0.0646,0.0411,0.0034
GWB01_20250528_110000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-004\GW_CheckAudio\GWB01_20250528_110000.wav,Insect,None,0.2915,0.0058,0.0745,0.0474,0.1313,0.0315,0.129,0.5032,0.0006,0.0245,0.0962,0.0034
GWB01_20250624_050000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-003\GW_CheckAudio\GWB01_20250624_050000.wav,None,None,0.1187,0.0035,0.0995,0.0425,0.0525,0.0913,0.1518,0.4331,0.0025,0.0214,0.0414,0.0182
